"subscription_rk","возраст","пол","кол-во детей","флаг отказа от коммуникаций","доход","возраст в банке","гео","дата подключения","дата отключения","активных дней","выгода","кол-во опций","активная дебетовая карта","активная кредитка","НС","активный мобаил","активный брокерский счет","вклад","флаг оплаты подписки","кол-во партнерских подписок","оборот","кол-во транзакций","транзакций кино","транзакций развлечения","транзакций фастфуд","транзакций музыка","транзакций рестораны","транзакций в оффере партнеров"
"565737523","29","F","0","0","50000","1099","МО","2022-10-04","2022-12-04","54","140.24","3","1","0","0","0","0","0","0","0","14546.66","18","0","0","3","0","0","4"
"743906967","25","M","0","0","50000","740","Уссурийск","2022-04-11","2022-06-12","62","1818.98","5","1","0","0","0","0","0","0","0","233113.63","208","0","20","39","0","26","1"
"737652446","27","M","0","0","70000","592","Пермь","2022-09-23","","197","136.94","4","1","0","0","0","0","0","1","0","15445.7","75","0","0","3","0","0","0"
"582796671","40","M","0","0","","158","Уфа","2022-09-03","2023-01-04","123","29.53","3","1","0","0","0","0","0","1","0","11109.67","72","0","0","1","0","0","1"
"367298890","28","M","0","0","31000","1487","Барнаул","2022-10-28","","162","162.5","3","1","0","0","0","0","0","1","0","52000.39","75","0","1","24","0","1","3"
"942952367","40","F","","0","80000","87","Москва","2022-08-31","2023-01-30","121","31.47","2","1","0","0","0","0","0","1","0","109790.18","57","0","1","4","0","0","4"
"512186251","37","F","0","0","100000","804","МО","2022-08-31","","220","292.73","5","1","0","0","0","0","0","1","0","51082.29","48","0","1","4","0","1","5"
"436381251","29","","","0","","215","Красноярск","2022-09-15","2022-11-14","0","211.5","2","1","0","0","0","0","0","0","0","353.68","4","0","0","0","0","0","0"
"645697673","40","M","0","0","25000","252","Санкт-Петербург","2022-10-18","","172","0","1","0","1","0","0","0","0","1","0","120211","105","0","0","7","0","0","0"
"194515277","31","F","0","0","","394","Москва","2022-03-03","","401","848.61","4","1","0","1","0","1","0","1","0","61055.83","83","0","0","26","0","1","0"
"148776811","26","M","0","0","120000","1255","Тула","2022-11-27","2022-12-27","30","353.87","5","1","1","1","0","0","0","0","0","51619.25","80","0","4","16","0","14","8"
"225677883","41","M","0","0","40000","571","Уфа","2022-10-08","2023-01-09","63","0","2","1","0","0","0","0","0","1","0","2857.99","11","0","0","0","0","0","0"
"96451257","37","F","0","0","999999","314","Уфа","2022-02-18","","414","233.91","5","1","0","0","0","0","0","1","0","16247.22","3","0","0","0","0","0","0"
"154186341","27","F","0","0","50000","839","МО","2022-08-29","2023-03-01","183","301.55","4","1","0","0","0","0","0","1","0","64825.75","76","0","3","10","0","0","5"
"487060784","50","M","0","0","70000","1537","Москва","2022-07-09","2022-10-14","66","273.62","6","1","0","1","0","0","0","1","0","17252.75","41","0","0","1","0","0","1"
"546290991","35","M","0","0","30000","592","Чита","2022-09-16","","204","402.46","5","0","0","0","0","1","0","1","0","19706.62","38","0","0","0","0","0","0"
"932374336","32","M","0","0","50000","221","Краснодар","2022-01-30","2022-02-28","6","149.91","5","1","0","0","0","0","0","0","0","12886.46","45","0","0","4","0","0","3"
"918660553","34","F","0","0","40000","421","Псков","2022-04-17","2022-06-17","47","67.98","4","1","1","1","0","1","0","1","0","33304.35","35","0","0","5","0","1","1"
"134552974","32","M","0","0","","-23","Томск","2022-01-16","2022-03-16","55","70.36","3","1","0","0","0","0","0","1","0","21743.48","95","0","0","5","0","1","0"
"629998814","28","M","0","0","120000","1471","Нефтеюганск","2022-03-30","","374","405.2","6","1","1","1","0","1","0","1","1","73965.26","64","0","0","10","0","3","0"
"819003724","44","F","0","0","","404","Краснотурьинск","2022-04-30","","343","289.58","4","1","0","0","0","0","0","1","0","42503.28","52","0","0","3","0","0","1"
"341094420","39","M","0","0","100000","1160","МО","2022-11-30","2023-03-30","92","462.9","3","1","0","1","0","0","0","1","0","69697.62","45","0","1","3","0","0","0"
"157255376","22","M","0","0","","1002","Екатеринбург","2022-09-04","2023-02-04","125","127.01","3","1","0","0","0","0","0","1","0","15319.03","73","0","0","18","0","3","3"
"450708637","39","F","0","0","80000","56","Новосибирск","2022-04-05","","368","419.42","6","1","0","0","0","0","0","1","0","70407.21","86","0","3","18","0","0","1"
"936200255","44","F","0","0","400000","2415","Благовещенск","2022-06-22","","290","243.33","6","1","0","1","0","0","0","1","0","15332.48","19","0","0","1","0","1","0"
"708094410","28","M","0","0","120000","1596","Оренбург","2022-12-28","","101","289.13","5","1","1","0","0","0","0","0","0","18583.38","98","0","0","27","0","0","4"
"829779492","38","F","0","0","25000","840","МО","2022-11-17","","142","345.25","3","1","0","0","0","1","0","1","0","116814.37","41","0","1","4","0","0","1"
"806007246","58","M","0","0","100000","260","Москва","2022-07-21","2022-08-21","4","107.66","4","1","0","1","0","0","0","0","0","30267.56","38","0","0","4","0","1","1"
"876784861","31","F","0","0","170000","1368","МО","2022-08-02","","249","557.78","6","1","0","0","0","0","0","1","0","94503.1","109","1","1","27","0","3","1"
"822941389","38","F","0","0","40000","75","Новосибирск","2022-10-03","","187","156.3","3","0","1","0","0","0","0","1","0","21505.83","45","0","0","1","0","0","5"
"590812260","43","F","0","0","100000","819","Челябинск","2022-06-23","","289","284.22","5","1","0","0","0","0","0","1","0","159007.69","159","0","3","18","0","3","1"
"144437330","38","M","0","0","","1814","Санкт-Петербург","2022-04-01","","372","1567.39","6","1","0","0","0","0","0","1","0","144744.08","83","0","3","22","0","5","1"
"901408460","65","F","0","0","100000","1788","Лиски","2022-03-06","","398","308.52","3","1","0","0","0","0","0","1","0","28803.54","8","0","0","0","0","0","0"
"25340623","33","F","0","0","40000","374","Мончегорск","2022-05-06","2022-07-06","0","83.99","2","0","0","0","1","0","0","1","0","1299.8","5","0","0","1","0","0","0"
"579727355","42","M","0","0","300000","2072","Златоуст","2022-10-04","2023-03-04","147","348.29","4","1","1","0","0","0","0","1","0","160774.38","206","3","3","24","0","23","0"
"962537711","37","M","0","0","","1126","Екатеринбург","2022-03-15","2022-10-15","213","1737.78","4","1","0","1","0","1","0","1","1","52477.94","68","0","0","4","0","3","11"
"408202985","21","F","0","0","25000","334","Москва","2022-03-31","2022-05-30","57","203.47","4","1","0","1","0","0","0","0","0","48359.38","73","1","0","20","0","1","4"
"657762185","17","F","0","0","","649","Белгород","2022-12-06","2023-01-06","2","112.74","4","1","0","0","0","0","0","0","0","39089.83","61","0","0","3","0","3","0"
"695802571","18","M","","0","50000","131","Архангельск","2022-11-29","2022-12-29","29","10.65","3","1","0","0","0","0","0","0","0","9485.34","35","0","0","5","0","0","1"
"867041376","40","M","0","0","500000","424","Москва","2022-07-03","","279","274.71","6","1","0","1","0","1","0","1","0","241398.94","238","1","5","39","0","12","0"
"917282817","62","M","0","0","","51","Киров","2022-03-31","","373","279.48","4","1","0","0","0","0","0","1","0","29477.26","57","0","1","3","0","0","3"
